Class,Type,Displacement,Country,First commissioned,YEAR
BYMS,AM,360,ENG,1 February 1943,1943
J,DD,1690,ENG,31 March 1939,1939
Tromp,C,4064,Royal Netherlands Navy,16 September 1939,1939
Fiji,CL,8000,ENG,29 June 1942,1942
Java,C,8078,Royal Netherlands Navy,1925,1925
Courbet,dreadnought,23475,FRA,5 June 1913,1913
La Galissonnière,CL,7600,FRA,10 February 1937,1937
Jeanne d'Arc,CL,6496,FRA,14 August 1931,1931
Armed Merchant Cruiser,,14164,ENG,1 October 1940,1940
Johan Maurits van Nassau,GB,1537,Royal Netherlands Navy,5 April 1933,1933
River,FF,1400,Royal Netherlands Navy,25 June 1943,1943
Fletcher,DD,2700,USA,27 October 1943,1943
Somers,DD,1850,USA,25 January 1939,1939
Churruca,DD,1522,Argentine Navy,,
Catamarca,DD,1010,Argentine Navy,,
Black Swan,SL,1250,Royal Indian Navy,13 May 1941,1941
Atlanta,CL,6000,USA,14 February 1942,1942
Hiyō,CV,26949,JPN,5 May 1942,1942
Kaga,CV,38200,JPN,1 November 1929,1929
Maxim Gorkiy (Project 26 bis),CA,8200,Soviet Navy,6 December 1944,1944
Furutaka,CA,7950,JPN,31 July 1926,1926
Kaiyō,CV,13600,JPN,23 November 1943,1943
Maxim Gorkiy (Project 26 bis),CA,8200,Soviet Navy,31 December 1942,1942
Hunt,DD,1050,Hellenic Navy,10 August 1942,1942
K,DD,1690,ENG,10 October 1939,1939
K,CL,6650,GER,6 November 1929,1929
Katori,CL,6180,JPN,15 July 1941,1941
Katori,CL,6180,JPN,31 May 1940,1940
Unryū,CV,17150,JPN,15 October 1944,1944
B,DD,1350,ENG,20 March 1931,1931
W,DD,1710,ENG,25 October 1943,1943
County,CA,9750,ENG,25 June 1928,1928
Ruler,CVE,11400,ENG,25 August 1943,1943
Fletcher,DD,2500,USA,23 April 1943,1943
Mississippi,BB,13000,Hellenic Navy,1 February 1908,1908
K,DD,1690,ENG,21 February 1940,1940
King George V,BB,35000,ENG,11 December 1940,1940
Nagara,CL,5088,JPN,10 November 1922,1922
Aoba,CA,9000,JPN,30 September 1927,1927
Kongō,battlecruiser,36600,JPN,19 April 1915,1915
Kirov (Project 26),CA,7880,Soviet Navy,23 September 1938,1938
Kuma,CL,5100,JPN,29 January 1921,1921
Black Swan,SL,1350,Royal Indian Navy,26 August 1943,1943
K,CL,6650,GER,January 1930,1930
Komet,MC,7500,GER,2 June 1940,1940
Raubvogel,torpedo boat,1290,GER,15 July 1927,1927
Kongō,battlecruiser,36600,JPN,16 August 1913,1913
Kormoran,MC,19900,GER,9 October 1940,1940
Admiralen,DD,1680,Royal Netherlands Navy,3 September 1928,1928
